,city,country,pop2023,latitude,longitude,airport_available,POP PER,GDP per city in crores
359,HATHRAS,India,126882,27.5955,78.052,FALSE,8.95318E-05,243.5621838
360,LALITPUR,India,126475,24.6901,78.4192,FALSE,8.92446E-05,242.7809082
361,KOLAR,India,126441,13.1377,78.13,FALSE,8.92206E-05,242.7156419
362,MANDSAUR,India,124988,24.0718,75.0699,FALSE,8.81953E-05,239.9264689
363,GONDIA,India,124897,21.4603,80.192,FALSE,8.81311E-05,239.7517856
364,RAJAPALAIYAM,India,124168,9.45296,77.5534,FALSE,8.76167E-05,238.3524001
365,DARJILING,India,123797,27.0333,88.2667,FALSE,8.73549E-05,237.64023
366,MOHALI,India,123484,30.68,76.7221,FALSE,8.7134E-05,237.0393965
367,PALANPUR,India,123294,24.1713,72.4383,FALSE,8.7E-05,236.6746732
368,DAM DAM,India,122719,22.6334,88.4229,FALSE,8.65942E-05,235.5709055
369,HARDOI,India,122635,27.3949,80.1317,FALSE,8.65349E-05,235.4096594
370,PURULIYA,India,122533,23.3306,86.363,FALSE,8.6463E-05,235.2138606
371,DIBRUGARH,India,122155,27.4799,94.9084,TRUE,8.61962E-05,234.4882533
372,PALWAL,India,121965,28.1447,77.3255,FALSE,8.60622E-05,234.1235301
373,NALGONDA,India,121826,17.0544,79.2671,FALSE,8.59641E-05,233.8567062
374,BHADRESWAR,India,121662,22.8245,88.3384,FALSE,8.58484E-05,233.5418925
375,VEJALPUR,India,121610,22.6902,73.563,FALSE,8.58117E-05,233.4420735
376,CHIKMAGALUR,India,121484,13.3223,75.774,FALSE,8.57228E-05,233.2002044
377,RAIGARH,India,121278,21.8976,83.3966,FALSE,8.55774E-05,232.8047676
378,GUNTAKAL JUNCTION,India,120964,15.1711,77.3624,FALSE,8.53558E-05,232.2020145
379,GANGAPUR,India,120115,26.4725,76.7174,FALSE,8.47568E-05,230.5722774
380,DEOLI,India,120000,28.5025,77.2312,FALSE,8.46756E-05,230.3515239
381,SIWAN,India,119181,26.221,84.3561,FALSE,8.40977E-05,228.7793747
382,DAMOH,India,118776,23.8331,79.4419,FALSE,8.38119E-05,228.0019383
383,ADILABAD,India,118526,19.672,78.5359,FALSE,8.36355E-05,227.5220393
384,SRIKAKULAM,India,118299,18.2989,83.8975,FALSE,8.34753E-05,227.086291
385,UPPAL KALAN,India,118259,17.4058,78.5591,FALSE,8.34471E-05,227.0095072
386,JETPUR,India,118068,21.7548,70.6235,FALSE,8.33123E-05,226.6428643
387,MORBI,India,118022,22.8173,70.8377,FALSE,8.32799E-05,226.5545629
388,PATAN,India,117863,23.8507,72.1296,FALSE,8.31677E-05,226.2493472
389,KHANNA,India,117137,30.7055,76.222,FALSE,8.26554E-05,224.8557204
390,BOTAD,India,117053,22.1692,71.6667,FALSE,8.25961E-05,224.6944744
391,RISHRA,India,117014,22.7239,88.3456,FALSE,8.25686E-05,224.6196101
392,AZAMGARH,India,116644,26.0683,83.1836,FALSE,8.23075E-05,223.9093596
393,YELAHANKA,India,116447,13.1007,77.5963,FALSE,8.21685E-05,223.5311992
394,GUDIVADA,India,116161,16.4355,80.9956,FALSE,8.19667E-05,222.9821947
395,BAIDYABATI,India,115504,22.785,88.3259,FALSE,8.15031E-05,221.7210201
396,BASTI,India,115115,26.7882,82.7162,FALSE,8.12286E-05,220.9742973
397,BALASORE,India,114321,21.4927,86.9335,FALSE,8.06683E-05,219.450138
398,DHARMAVARAM,India,114050,14.4143,77.7204,FALSE,8.04771E-05,218.9299275
399,MALER KOTLA,India,113840,30.5309,75.8795,FALSE,8.03289E-05,218.5268123
