,CITY 1,CITY 2,lat1,lon1,lat2,lon2,distance
64,AJMER,MUMBAI,26.4521,74.6387,19.0728,72.8826,840.0239329
65,AJMER,SURAT,26.4521,74.6387,21.1959,72.8302,612.6991108
66,ALLAHABAD,BENGALURU,25.4448,81.8432,12.9719,77.5937,1456.564769
67,ALLAHABAD,BHOPAL,25.4448,81.8432,23.2547,77.4029,511.4544536
68,ALLAHABAD,BHUBANESWAR,25.4448,81.8432,20.2511,85.8153,706.4028002
69,ALLAHABAD,BILASPUR,25.4448,81.8432,22.08,82.1554,375.4946688
70,ALLAHABAD,DEHRA DUN,25.4448,81.8432,30.3244,78.0339,659.0934084
71,ALLAHABAD,DELHI,25.4448,81.8432,28.652,77.2315,579.3477983
72,ALLAHABAD,GORAKHPUR,25.4448,81.8432,29.4477,75.6721,754.0545286
73,ALLAHABAD,INDORE,25.4448,81.8432,22.7179,75.8333,681.1786423
74,ALLAHABAD,MUMBAI,25.4448,81.8432,19.0728,72.8826,1162.226003
75,ALLAHABAD,PUNE,25.4448,81.8432,18.5196,73.8553,1126.93034
76,ALLAHABAD,RAIPUR,25.4448,81.8432,21.2333,81.6333,468.7871712
77,AMRITSAR,BENGALURU,31.6223,74.8753,12.9719,77.5937,2092.352901
78,AMRITSAR,CHANDIGARH,31.6223,74.8753,30.7363,76.7884,206.9476254
79,AMRITSAR,DABOLIM,31.6223,74.8753,15.3803,73.8349,1809.108587
80,AMRITSAR,DELHI,31.6223,74.8753,28.652,77.2315,400.500884
81,AMRITSAR,GUWAHATI,31.6223,74.8753,26.1844,91.7458,1747.604641
82,AMRITSAR,HYDERABAD,31.6223,74.8753,17.3841,78.4564,1623.808201
83,AMRITSAR,JAIPUR,31.6223,74.8753,26.9196,75.7878,530.3460908
84,AMRITSAR,JAISALMER,31.6223,74.8753,26.9157,70.9083,649.4512105
85,AMRITSAR,JAMMU,31.6223,74.8753,32.7357,74.8691,123.8058063
86,AMRITSAR,KOLKATA,31.6223,74.8753,22.5626,88.363,1670.100777
87,AMRITSAR,MUMBAI,31.6223,74.8753,19.0728,72.8826,1409.639622
88,AMRITSAR,NANDED,31.6223,74.8753,19.1602,77.315,1407.085461
89,AMRITSAR,PATNA,31.6223,74.8753,25.5941,85.1356,1204.224204
